bond,symmetries,orbital,E_dec,K,maxdim,zerodim,nc_score
0.958,sen,mo,-74.98813371451783,28,21,21,0.7673654750104044
0.958,sen,opt,-74.99130436724629,69,21,21,0.7052024847240596
0.958,senquart,mo,-75.00013310086798,6,47,47,0.263551299955449
0.958,senquart,opt,-75.01181409189232,1,47,47,0.020749421926124424
0.958,,,,,,,
0.958,,,,,,,
1.643,sen,mo,-74.72867658867277,48,21,21,1.495860117228912
1.643,sen,opt,-74.7318174591403,63,21,21,1.4560708787351166
1.643,senquart,mo,-74.8215650405073,8,47,47,0.08809314148299727
1.643,senquart,opt,-74.82741243522594,1,47,47,0.006640243775982033
1.643,,,,,,,
1.643,,,,,,,
2.000,sen,mo,-74.71322681391977,48,21,21,1.6710977370869533
2.000,sen,opt,-74.71445402655051,66,21,21,1.555911556434844
2.000,senquart,mo,-74.75830695649398,9,47,47,0.047894563410501884
2.000,senquart,opt,-74.76187041499914,1,47,47,0.0015369205215351623
2.000,,,,,,,
2.000,,,,,,,
2.500,sen,mo,-74.73489672116162,57,21,21,0.2748950805748632
2.500,sen,opt,-74.73419933444484,62,21,21,0.03678026463394422
2.500,senquart,mo,-74.74045793497852,1,47,47,0.0019235455539055146
2.500,senquart,opt,-74.74058426690861,1,47,47,0.00013907113333145823
2.500,,,,,,,
2.500,,,,,,,
