V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
9.480459242395272712e-02 1.657257820663086689e-01 6.745681229695889812e-03 1.455121441057579540e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865408860556459159e+00 -1.869333866818284173e+00 2.600000000000000000e+01 1.000000000000000000e+01
3.492553598841929841e-02 9.251338410702225623e-02 5.562937799494761630e-03 6.111697453426472720e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108314051504568e+00 -1.866515610284518401e+00 2.600000000000000000e+01 8.000000000000000000e+00
4.169371735451406907e-02 1.790909153412517316e-02 1.442515293457599483e-03 2.068552707019008854e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.885213852772324783e+00 -1.885213852772324561e+00 2.900000000000000000e+01 7.000000000000000000e+00
2.853951395364773269e-02 1.666666666658503937e-01 9.784123470186681729e-03 1.040664465913286249e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925811759e+00 -1.845396916925812203e+00 2.500000000000000000e+01 7.000000000000000000e+00
1.004012052100919927e-01 1.661176200926701985e-01 9.269463705781346916e-03 1.797184738892214015e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925810427e+00 -1.849427196995445888e+00 2.600000000000000000e+01 1.100000000000000000e+01
4.609924635019846395e-02 1.666666666477116532e-01 1.015537136306608745e-02 1.570868338703872158e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925808650e+00 -1.847593893580066204e+00 3.000000000000000000e+01 1.100000000000000000e+01
2.853929509266528441e-02 1.666666666658353224e-01 9.784123413981965500e-03 1.040651557187321011e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925808206e+00 -1.845396916925809983e+00 2.500000000000000000e+01 7.000000000000000000e+00
3.492552558451411659e-02 9.251342509825581650e-02 5.562937806158200528e-03 6.111695102321311468e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108310089332644e+00 -1.866515475132722202e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.492566035371552635e-02 9.251392617189679868e-02 5.562937899678501406e-03 6.111731648277217953e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108385296952997e+00 -1.866515874085907356e+00 2.600000000000000000e+01 8.000000000000000000e+00
2.853989788835509245e-02 1.666666666657976026e-01 9.784123984686809994e-03 1.040694375807206182e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925854613e+00 -1.845396916925851727e+00 2.500000000000000000e+01 7.000000000000000000e+00
1.004013210847563564e-01 1.661174745758079163e-01 9.269462683859051866e-03 1.797192170620883975e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925812647e+00 -1.849422010735028987e+00 2.600000000000000000e+01 1.100000000000000000e+01
3.492530252598324836e-02 9.251229042334953301e-02 5.562937818011452415e-03 6.111598319098565484e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108255154696693e+00 -1.866515039350826743e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.492571064523136704e-02 9.251431945926988365e-02 5.562937829688346242e-03 6.111776971570320911e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108372787469326e+00 -1.866515997925821235e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.492543961940008934e-02 9.251290927934069375e-02 5.562937967592687834e-03 6.111618544681601990e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108328035937957e+00 -1.866515140841919829e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.492547687293967584e-02 9.251335675522910640e-02 5.562937818301238839e-03 6.111677996433011878e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108334935214884e+00 -1.866515245598211248e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.492577184117212630e-02 9.251511310505192154e-02 5.562938204849349200e-03 6.111797754062002486e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108367957961644e+00 -1.866515440100995349e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.004014324460438812e-01 1.661174078712188695e-01 9.269462753287252901e-03 1.797187886039626134e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925820197e+00 -1.849423022292369545e+00 2.600000000000000000e+01 1.100000000000000000e+01
4.609939005596253025e-02 1.666666666481568249e-01 1.015537114960507470e-02 1.570875233513226166e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925864605e+00 -1.847596234106285484e+00 3.000000000000000000e+01 1.100000000000000000e+01
3.492523669364383521e-02 9.251180422526325553e-02 5.562937854211870946e-03 6.111576592435564656e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865108192582780822e+00 -1.866515032591685941e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.004012498676195020e-01 1.661175243137959778e-01 9.269462720524763999e-03 1.797193795252019152e-02 9.999999999999998890e-01 -2.000000000000001332e+00 -1.845396916925809538e+00 -1.849421948531385862e+00 2.600000000000000000e+01 1.100000000000000000e+01
