V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
2.502451756283174955e-02 1.613154017679561125e-01 1.918712869200746903e-03 4.278633209889436996e-03 1.000238485731659299e+00 -1.889293011334279404e+00 8.579491004207406846e-03 8.059306825423995235e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374499673696262025e-02 8.959768475749799177e-02 1.117851069357613187e-03 1.541347392778067218e-03 9.998835201635282166e-01 -1.991728584207826502e+00 5.086044714245563370e-03 4.681286376194027099e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
1.982513274912126366e+00 9.999753818486838419e-01 5.619104814268641862e-04 3.212735404448417015e-03 -1.007630958780335151e+00 5.384042569630122059e-03 8.901793118950562800e-03 6.945524292257587717e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
2.374489778081556590e-02 8.959871446392253524e-02 1.117850928321793879e-03 1.541397290869351080e-03 1.000152272153819855e+00 -1.991978718967252204e+00 5.085991505191067574e-03 4.682024557105535223e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
1.982570391277296062e+00 9.999993581878563464e-01 5.618774889250249382e-04 3.212770224471051331e-03 -9.999533619589415778e-01 -9.792926017339653979e-06 8.901803457391110896e-03 6.946034761192487750e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
1.982570035931808139e+00 9.999987041251727771e-01 5.618784337327776971e-04 3.212818666246359828e-03 -9.992614653096963950e-01 -7.683885524902055522e-04 8.901784011217550585e-03 6.972833637980402344e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
2.502135669807903362e-02 1.613001192692765651e-01 1.918712259926616624e-03 4.277565270126093035e-03 1.000074542758958795e+00 -1.888758265476105480e+00 8.579491004198080972e-03 8.054396178467149170e-03 2.000000000000000000e+01 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00
2.374503030469221621e-02 8.960070589006302599e-02 1.117850777718578650e-03 1.541469303118090262e-03 9.999510362265932040e-01 -1.991779698050402114e+00 5.085974558578731930e-03 4.681187902890515673e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.374547665857956735e-02 8.960403713327003139e-02 1.117851078459976798e-03 1.541543101569753729e-03 1.000533954784474044e+00 -1.992410914513683906e+00 5.085942038682178534e-03 4.681056662860116901e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
1.982570031474246486e+00 9.999993438521901368e-01 5.618785986030793529e-04 3.212782053687617250e-03 -1.000120492944180262e+00 1.277012975387718352e-04 8.901788852743841574e-03 6.940838668051840799e-03 1.700000000000000000e+01 1.400000000000000000e+01 1.200000000000000000e+01 1.200000000000000000e+01
8.508876290008071663e-02 1.654717284983545644e-01 1.313750863964876017e-03 5.351019812583721058e-03 9.998352810031233551e-01 -1.981155695951652973e+00 5.214682114724533690e-03 4.277451587191061222e-03 2.500000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00
2.374486556350446920e-02 8.959951165322965760e-02 1.117851002285281774e-03 1.541442063158905262e-03 9.999433214211025378e-01 -1.991756903987867533e+00 5.085977364589266969e-03 4.681784787549769788e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
2.374509815429670656e-02 8.960071050322920838e-02 1.117851064332330046e-03 1.541468528124191996e-03 9.999763414560963737e-01 -1.991812292283601016e+00 5.085993232702978872e-03 4.680689704470442081e-03 8.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00
8.508379437675034351e-02 1.654620825664179784e-01 1.313748392381966328e-03 5.350665976835606436e-03 9.999846961748293239e-01 -1.981122860132818131e+00 5.214639649988361825e-03 4.277724236670721325e-03 2.500000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000000e+00
