V_fci V_hf C_fci C_hf b c
2.502451756282653150e-02 1.613154017679561125e-01 1.918712869200753625e-03 4.278633209889432659e-03 1.000238485731659299e+00 -1.889293011334279404e+00
2.374499673696778279e-02 8.959768475749799177e-02 1.117851069357615789e-03 1.541347392778067002e-03 9.998835201635282166e-01 -1.991728584207826502e+00
1.982513274912127255e+00 9.999753818486838419e-01 5.619104814270409112e-04 3.212735404448417015e-03 -1.007630958780335151e+00 5.384042569630122059e-03
2.374489778082067293e-02 8.959871446392253524e-02 1.117850928321791277e-03 1.541397290869353249e-03 1.000152272153819855e+00 -1.991978718967252204e+00
1.982570391277296507e+00 9.999993581878563464e-01 5.618774889252066505e-04 3.212770224471040922e-03 -9.999533619589415778e-01 -9.792926017339653979e-06
1.982570035931809249e+00 9.999987041251727771e-01 5.618784337329557231e-04 3.212818666246363732e-03 -9.992614653096963950e-01 -7.683885524902055522e-04
2.502135669807359353e-02 1.613001192692765651e-01 1.918712259926617057e-03 4.277565270126092167e-03 1.000074542758958795e+00 -1.888758265476105480e+00
2.374503030469726772e-02 8.960070589006302599e-02 1.117850777718576915e-03 1.541469303118091346e-03 9.999510362265932040e-01 -1.991779698050402114e+00
2.374547665858489642e-02 8.960403713327003139e-02 1.117851078459972461e-03 1.541543101569753296e-03 1.000533954784474044e+00 -1.992410914513683906e+00
1.982570031474248040e+00 9.999993438521901368e-01 5.618785986032568368e-04 3.212782053687608576e-03 -1.000120492944180262e+00 1.277012975387718352e-04
8.508876290008066112e-02 1.654717284983545367e-01 1.313750863964889461e-03 5.351019812583721925e-03 9.998352810031233551e-01 -1.981155695951652973e+00
2.374486556350963173e-02 8.959951165322965760e-02 1.117851002285284159e-03 1.541442063158905262e-03 9.999433214211025378e-01 -1.991756903987867533e+00
2.374509815430203563e-02 8.960071050322920838e-02 1.117851064332336768e-03 1.541468528124191563e-03 9.999763414560963737e-01 -1.991812292283601016e+00
8.508379437675045454e-02 1.654620825664180062e-01 1.313748392381974134e-03 5.350665976835607303e-03 9.999846961748293239e-01 -1.981122860132818131e+00
1.982569095947136040e+00 9.999980676418064318e-01 5.618811511814218425e-04 3.212783087495813417e-03 -9.987397211755670856e-01 -9.948916813081196478e-04
1.662237358057972458e-01 1.658849772899198272e-01 1.123664966235886353e-03 9.187114232152227694e-03 9.999980666921373107e-01 -1.991981416743607625e+00
8.508479536650320751e-02 1.654639047497815096e-01 1.313748667068208396e-03 5.350599638001504212e-03 9.999271652353567408e-01 -1.981103105405422449e+00
1.982570940721632979e+00 9.999990828442176793e-01 5.618776424363341798e-04 3.212756655682683267e-03 -9.997520272908795302e-01 -9.665500423821842089e-05
1.982571173435025091e+00 9.999986810502098367e-01 5.618810717618338575e-04 3.212893354700882033e-03 -1.000487539996719244e+00 -8.564305460714648861e-05
8.634988814116417721e-02 1.656265509777476996e-01 1.739536788757103762e-03 5.856598688691683728e-03 1.000022530015777456e+00 -1.983833970213797926e+00
