V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
8.561156721899609856e-02 1.664872289734392607e-01 1.318631661761413693e-03 5.386066119450880728e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.865953510184040542e+00 -1.866889925500633707e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.380487814311743611e-02 8.984051005840903992e-02 1.119541785186041558e-03 1.544305571605353268e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866081999374919809e+00 -1.866487070844290441e+00 8.000000000000000000e+00 4.000000000000000000e+00
5.755829025845149438e-03 1.666666666655938212e-01 1.939148925436896950e-03 2.055153099349352197e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869098404e+00 -1.862588568869100847e+00 1.800000000000000000e+01 5.000000000000000000e+00
8.681022803823856826e-02 1.665103761244796643e-01 1.745082118287738992e-03 5.890553843555646103e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869122163e+00 -1.863169564138104306e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.593589370487492385e-02 1.666666666658380702e-01 1.957499635423818295e-03 4.409962986929974287e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869103289e+00 -1.863124207998126725e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.593584165283235876e-02 1.666666666658261631e-01 1.957499539933309132e-03 4.410097594733533230e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869104177e+00 -1.863122688272756289e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.593584158894735037e-02 1.666666666658276341e-01 1.957499541390825097e-03 4.410069013759516932e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869103733e+00 -1.863122963357025874e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.380496717976371412e-02 8.984277165020843059e-02 1.119541424041070425e-03 1.544389557221235911e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082050719229501e+00 -1.866487115069688674e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.380496943874149673e-02 8.984286589309635473e-02 1.119541423009593438e-03 1.544393634061818699e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082052459528740e+00 -1.866487104508579353e+00 8.000000000000000000e+00 4.000000000000000000e+00
4.186950570938710592e-02 1.287308795668648705e-02 3.027589844036669025e-04 1.039231288124565274e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.869731088176234568e+00 -1.869731088176233680e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.681014565107514347e-02 1.665104723233025164e-01 1.745082313498312609e-03 5.890589707669579081e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869107064e+00 -1.863169414703370608e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.380495572425972428e-02 8.984251319313926731e-02 1.119541429558434118e-03 1.544380506298226579e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082046941226480e+00 -1.866487097566466469e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.380495796040993373e-02 8.984261933434757597e-02 1.119541437911096213e-03 1.544385825768537432e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082047169770108e+00 -1.866487096451795225e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.380496156680345088e-02 8.984270288086271261e-02 1.119541422676101957e-03 1.544387295363985587e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082050225753575e+00 -1.866487073295997723e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.593583580383018727e-02 1.666666666658224161e-01 1.957499553402170574e-03 4.410012266101090428e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869107952e+00 -1.863123384138139382e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.380498667655633893e-02 8.984311631342351001e-02 1.119541431800708843e-03 1.544402446111311361e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082052861474772e+00 -1.866487222316376648e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.380496907765822234e-02 8.984281627893593580e-02 1.119541451759604057e-03 1.544389956891684124e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.866082053060638568e+00 -1.866487085922695854e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.593584567415807562e-02 1.666666666658418172e-01 1.957499634514655792e-03 4.410138173042290645e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869162131e+00 -1.863122939394438404e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.593579648823207684e-02 1.666666666658511708e-01 1.957499713123690872e-03 4.410155835327128453e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869105510e+00 -1.863121601633298541e+00 2.000000000000000000e+01 7.000000000000000000e+00
8.681031065374367195e-02 1.665102791893129930e-01 1.745082213145811127e-03 5.890519157518296460e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -1.862588568869104400e+00 -1.863169589163164552e+00 2.500000000000000000e+01 9.000000000000000000e+00
