V_fci V_hf C_fci C_hf b c
8.333808249872620699e-02 1.666648957681969578e-01 3.808407217530952502e-06 9.663434358166504961e-04 9.999976842481296258e-01 -1.999966915173534865e+00
2.084052065975350310e-02 8.347548098302859376e-02 3.357420911331490129e-06 1.636344628182935491e-04 1.000049527266467564e+00 -2.000017994360638429e+00
4.166729846912042151e-02 2.851852207110604047e-04 8.376744156518932691e-07 3.215578303148698496e-04 9.999514473238602097e-01 -1.999953749702155559e+00
5.619815163246499878e-03 1.717272245485862991e-01 5.154504522011731874e-06 4.587714190381373352e-06 8.612355551459044412e-01 -1.300838539096845770e+00
2.084067038814119144e-02 8.347595496694648620e-02 3.357153545513320770e-06 1.636373358720542143e-04 1.000060597826459619e+00 -2.000050704642876376e+00
2.084143636364477192e-02 1.666306383253330914e-01 5.776795406649788585e-06 5.262208014585657324e-04 1.000075814837916521e+00 -1.999426816397926743e+00
2.084226229134078512e-02 1.666372428770609981e-01 5.776501837554797558e-06 5.262275845236828080e-04 9.999934651594077906e-01 -1.999463534261329167e+00
2.084339101979493236e-02 1.666462500667827973e-01 5.776642193325902648e-06 5.262633916327233343e-04 9.999228734401668373e-01 -1.999555234905201262e+00
2.084436577571024962e-02 1.666540433597181459e-01 5.777143452690558642e-06 5.262900961320994640e-04 9.999617817243101614e-01 -1.999734508746141115e+00
4.166685396721955814e-02 2.854519020430874572e-04 8.376815185097508018e-07 3.215568419213297676e-04 9.999263680331970106e-01 -1.999896645490547131e+00
8.334025468396832892e-02 1.666632346676603926e-01 5.050413531812529929e-06 9.670799121317068909e-04 9.999879367657233953e-01 -1.999927260661056083e+00
2.084053004863140046e-02 8.347517910994739498e-02 3.357149944558297121e-06 1.636345055657643683e-04 1.000046273420559517e+00 -2.000016217150438980e+00
2.084053509105110447e-02 8.347519724792874796e-02 3.357215466257447835e-06 1.636323047402117787e-04 9.998352876145432111e-01 -1.999805626267511460e+00
2.084464104617889113e-02 1.666562508014236832e-01 5.776495258943073818e-06 5.263155808508761507e-04 1.000056306707514775e+00 -1.999868773787200515e+00
1.374589483993451655e-01 6.067808224969662989e-01 1.363416316167235986e-05 1.174281300436786365e-05 -3.677359274496732611e-01 -3.532263383585039662e+00
2.084059515769426385e-02 8.347551183925226714e-02 3.357256096565615151e-06 1.636330772725256145e-04 1.000004583469349395e+00 -1.999983886000336053e+00
3.620472573092226032e-02 1.924057379582134464e-01 6.138713620675491039e-06 6.118338577516328420e-06 1.661408840110035534e+00 -2.885722594467975632e+00
3.792567128675372601e-04 1.676907740563361449e-01 5.163076282887339751e-06 4.605941522856880425e-06 9.623604706010587817e-01 -1.391578295874252635e+00
9.986968559649311850e-03 1.623996881139247450e-01 5.228431330704814137e-06 4.914285717605852461e-06 8.075982454035933733e-01 -1.434946436699086059e+00
5.882163103370940949e-01 4.502636075904902779e-01 5.651936292280578798e-06 7.742901304511364466e-06 -1.615148025530393494e-01 -1.125826497578081176e+00
